SubjID etnia regiao idade genero filhos animais Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 final_gik1 final_gik2 final_gik3
10001082 1 4 2 3 4 3 142343 6 0.3333 0.3333 0.3333 0 1 0
10001083 4 2 2 2 1 1 422211 6 0.3333 0.3333 0.3333 0 0 1
10001084 1 1 2 3 4 3 112343 3 0.3333 0.3333 0.3333 0 1 0
10001085 1 5 4 1 4 4 154144 2 0.3333 0.3333 0.3333 0.438 0.562 0
10001086 1 5 3 3 5 4 153354 2 0.3333 0.3333 0.3333 0.7262 0.2738 0
10001087 1 3 3 3 1 3 133313 2 0.3333 0.3333 0.3333 0.353 0.647 0
10001088 3 2 5 1 5 4 325154 2 0.3333 0.3333 0.3333 1 0 0
10001089 1 4 3 2 4 2 143242 2 0.3333 0.3333 0.3333 0 0.6027 0.3973
10001090 3 3 5 3 5 3 335353 2 0.3333 0.3333 0.3333 0.9601 0.0399 0
10001091 4 1 5 3 3 4 415334 2 0.3333 0.3333 0.3333 0.6343 0 0.3657
10001092 4 3 3 1 3 2 433132 2 0.3333 0.3333 0.3333 0 0 1
10001093 1 3 4 3 3 1 134331 5 0.3333 0.3333 0.3333 0 0.5817 0.4183
10001094 2 2 4 3 2 4 224324 4 0.3333 0.3333 0.3333 0.5676 0.4324 0
10001095 2 2 5 1 1 3 225113 4 0.3333 0.3333 0.3333 1 0 0
10001096 2 4 2 1 1 1 242111 1 0.3333 0.3333 0.3333 0.3604 0.3354 0.3043
10001097 3 2 3 2 3 4 323234 1 0.3333 0.3333 0.3333 0.3012 0 0.6988
10001098 1 4 3 1 4 1 143141 1 0.3333 0.3333 0.3333 0 1 0
10001099 1 1 2 3 5 2 112352 1 0.3333 0.3333 0.3333 0.2735 0.4598 0.2667
10001100 2 4 2 2 3 4 242234 1 0.3333 0.3333 0.3333 0.3333 0.2093 0.4573
10001101 1 3 4 2 1 2 134212 1 0.3333 0.3333 0.3333 0 0.2524 0.7476
10001102 2 3 4 1 1 2 234112 1 0.3333 0.3333 0.3333 0.3751 0 0.6249
10001103 4 1 2 2 5 1 412251 1 0.3333 0.3333 0.3333 0.2381 0 0.7619
10001104 1 2 3 1 3 1 123131 1 0.3333 0.3333 0.3333 0 0.2972 0.7028
10001105 2 1 1 1 3 4 211134 1 0.3333 0.3333 0.3333 0.8026 0 0.1974
10001106 1 4 3 1 5 3 143153 2 0.3333 0.3333 0.3333 0.3471 0.6529 0
10001107 2 2 3 1 1 2 223112 2 0.3333 0.3333 0.3333 0.6018 0 0.3982
10001108 3 3 1 2 1 1 331211 2 0.3333 0.3333 0.3333 0.2821 0 0.7179
10001109 1 1 2 3 1 4 112314 2 0.3333 0.3333 0.3333 0.489 0.511 0
10001110 1 3 2 1 4 3 132143 2 0.3333 0.3333 0.3333 0 1 0
10001111 4 2 4 2 4 2 424242 2 0.3333 0.3333 0.3333 0 0.2213 0.7787
10001112 4 4 1 1 2 1 441121 2 0.3333 0.3333 0.3333 0.2351 0.4599 0.305
10001113 3 1 2 2 5 3 312253 3 0.3333 0.3333 0.3333 0.3971 0.15 0.453
10001114 3 3 1 3 5 4 331354 3 0.3333 0.3333 0.3333 1 0 0
10001115 2 1 3 1 4 4 213144 5 0.3333 0.3333 0.3333 0.7474 0.2526 0
10001116 1 4 2 3 4 3 142343 6 0.3333 0.3333 0.3333 0 1 0
10001117 4 2 2 2 1 1 422211 6 0.3333 0.3333 0.3333 0 0 1
10001118 1 1 2 3 4 3 112343 3 0.3333 0.3333 0.3333 0 1 0
10001119 1 5 4 1 4 4 154144 2 0.3333 0.3333 0.3333 0.438 0.562 0
10001120 1 5 3 3 5 4 153354 2 0.3333 0.3333 0.3333 0.7262 0.2738 0
10001121 1 3 3 3 1 3 133313 2 0.3333 0.3333 0.3333 0.353 0.647 0
10001122 3 2 5 1 5 4 325154 2 0.3333 0.3333 0.3333 1 0 0
10001123 1 4 3 2 4 2 143242 2 0.3333 0.3333 0.3333 0 0.6027 0.3973
10001124 3 3 5 3 5 3 335353 2 0.3333 0.3333 0.3333 0.9601 0.0399 0
10001125 4 1 5 3 3 4 415334 2 0.3333 0.3333 0.3333 0.6343 0 0.3657
10001126 4 3 3 1 3 2 433132 2 0.3333 0.3333 0.3333 0 0 1
10001127 1 3 4 3 3 1 134331 5 0.3333 0.3333 0.3333 0 0.5817 0.4183
10001128 2 2 4 3 2 4 224324 4 0.3333 0.3333 0.3333 0.5676 0.4324 0
10001129 2 2 5 1 1 3 225113 4 0.3333 0.3333 0.3333 1 0 0
10001130 1 4 3 1 5 3 143153 2 0.3333 0.3333 0.3333 0.3471 0.6529 0
10001131 2 2 3 1 1 2 223112 2 0.3333 0.3333 0.3333 0.6018 0 0.3982
10001132 3 3 1 2 1 1 331211 2 0.3333 0.3333 0.3333 0.2821 0 0.7179
10001133 1 1 2 3 1 4 112314 2 0.3333 0.3333 0.3333 0.489 0.511 0
10001134 1 3 2 1 4 3 132143 2 0.3333 0.3333 0.3333 0 1 0
10001135 4 2 4 2 4 2 424242 2 0.3333 0.3333 0.3333 0 0.2213 0.7787
10001136 4 4 1 1 2 1 441121 2 0.3333 0.3333 0.3333 0.2351 0.4599 0.305
10001137 3 1 2 2 5 3 312253 3 0.3333 0.3333 0.3333 0.3971 0.15 0.453
10001138 3 3 1 3 5 4 331354 3 0.3333 0.3333 0.3333 1 0 0
10001139 2 1 3 1 4 4 213144 5 0.3333 0.3333 0.3333 0.7474 0.2526 0
10001140 1 4 2 3 4 3 142343 6 0.3333 0.3333 0.3333 0 1 0
10001141 4 2 2 2 1 1 422211 6 0.3333 0.3333 0.3333 0 0 1
10001142 1 3 4 3 3 1 134331 5 0.3333 0.3333 0.3333 0 0.5817 0.4183
10001143 2 2 4 3 2 4 224324 4 0.3333 0.3333 0.3333 0.5676 0.4324 0
10001144 2 2 5 1 1 3 225113 4 0.3333 0.3333 0.3333 1 0 0
10001145 2 1 3 1 4 4 213144 5 0.3333 0.3333 0.3333 0.7474 0.2526 0
10001146 1 4 2 3 4 3 142343 6 0.3333 0.3333 0.3333 0 1 0
10001147 4 2 2 2 1 1 422211 6 0.3333 0.3333 0.3333 0 0 1
10001148 1 3 4 3 3 1 134331 5 0.3333 0.3333 0.3333 0 0.5817 0.4183
10001149 2 4 1 2 3 3 241233 1 0.3333 0.3333 0.3333 0.3803 0.2863 0.3333
10001150 3 3 3 2 3 3 333233 1 0.3333 0.3333 0.3333 0 0.2284 0.7716
10001151 1 1 1 1 1 1 111111 1 0.3333 0.3333 0.3333 0.5386 0.3295 0.1318
10001152 1 4 2 3 4 3 142343 6 0.3333 0.3333 0.3333 0 1 0
10001153 4 2 2 2 1 1 422211 6 0.3333 0.3333 0.3333 0 0 1
10001154 1 1 2 3 4 3 112343 3 0.3333 0.3333 0.3333 0 1 0
10001155 1 3 4 3 3 1 134331 5 0.3333 0.3333 0.3333 0 0.5817 0.4183
10001156 2 2 4 3 2 4 224324 4 0.3333 0.3333 0.3333 0.5676 0.4324 0
10001157 2 2 5 1 1 3 225113 4 0.3333 0.3333 0.3333 1 0 0
10001158 2 1 3 1 4 4 213144 5 0.3333 0.3333 0.3333 0.7474 0.2526 0
10001159 1 4 2 3 4 3 142343 6 0.3333 0.3333 0.3333 0 1 0
10001160 4 2 2 2 1 1 422211 6 0.3333 0.3333 0.3333 0 0 1
10001161 3 2 4 1 1 2 324112 2 0.3333 0.3333 0.3333 0 0 1
10001162 1 1 2 2 1 4 112214 2 0.3333 0.3333 0.3333 0.3359 0.2633 0.4008
10001163 4 2 4 3 4 4 424344 2 0.3333 0.3333 0.3333 0.2653 0.4037 0.331
