SubjID etnia regiao idade genero filhos animais Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 initial_gik4 final_gik1 final_gik2 final_gik3 final_gik4
10001046 2 5 2 1 1 3 252113 1 0.25 0.25 0.25 0.25 0 0.6175 0.3825 0
10001047 1 1 1 2 1 4 111214 1 0.25 0.25 0.25 0.25 0 0.6884 0 0.3116
10001048 4 1 2 1 2 4 412124 1 0.25 0.25 0.25 0.25 0.2769 0.4729 0.2502 0
10001049 1 2 4 3 4 3 124343 1 0.25 0.25 0.25 0.25 0 0.4878 0.5122 0
10001050 2 3 5 2 4 1 235241 1 0.25 0.25 0.25 0.25 0.3071 0.3677 0 0.3252
10001051 1 1 4 3 2 2 114322 1 0.25 0.25 0.25 0.25 0 0.2422 0.7578 0
10001052 2 4 1 3 4 3 241343 1 0.25 0.25 0.25 0.25 0 0.749 0 0.251
10001053 2 5 2 1 4 1 252141 1 0.25 0.25 0.25 0.25 0.282 0.4288 0.2892 0
10001054 3 2 2 3 3 4 322334 1 0.25 0.25 0.25 0.25 0.5 0 0 0.5
10001055 1 2 5 3 4 3 125343 1 0.25 0.25 0.25 0.25 0.2817 0.6204 0 0.0979
10001056 3 2 5 1 3 1 325131 1 0.25 0.25 0.25 0.25 0.791 0 0 0.209
10001057 2 3 5 3 1 2 235312 1 0.25 0.25 0.25 0.25 0 0 0.6928 0.3072
10001058 2 3 2 3 5 3 232353 1 0.25 0.25 0.25 0.25 0 0.5019 0 0.4981
10001059 3 2 4 1 1 2 324112 2 0.25 0.25 0.25 0.25 0.0006 0 0.8328 0.1667
10001060 1 1 2 2 1 4 112214 2 0.25 0.25 0.25 0.25 0 1 0 0
10001061 4 2 4 3 4 4 424344 2 0.25 0.25 0.25 0.25 0.2773 0.3298 0.3929 0
10001062 1 4 2 3 2 3 142323 1 0.25 0.25 0.25 0.25 0 0.7392 0.2608 0
10001063 4 1 1 2 3 1 411231 1 0.25 0.25 0.25 0.25 0.6199 0.181 0 0.199
10001064 4 3 5 3 1 1 435311 1 0.25 0.25 0.25 0.25 0.5874 0 0 0.4126
10001065 3 4 2 2 2 1 342221 1 0.25 0.25 0.25 0.25 0.3528 0.2673 0.1667 0.2132
10001066 3 2 5 3 3 2 325332 1 0.25 0.25 0.25 0.25 0.328 0 0.3221 0.3499
10001067 1 4 5 3 1 4 145314 1 0.25 0.25 0.25 0.25 0 0.7148 0 0.2852
10001068 1 4 2 3 2 4 142324 1 0.25 0.25 0.25 0.25 0 0.6872 0.3128 0
10001069 2 1 4 2 3 1 214231 1 0.25 0.25 0.25 0.25 0.4437 0.2821 0.2742 0
10001070 3 3 3 2 5 1 333251 1 0.25 0.25 0.25 0.25 0.206 0 0 0.794
10001071 2 5 1 1 5 3 251153 1 0.25 0.25 0.25 0.25 0 0.0475 0.4728 0.4797
10001072 4 3 3 1 1 4 433114 1 0.25 0.25 0.25 0.25 0.2961 0 0.512 0.1919
10001073 3 4 3 2 4 1 343241 1 0.25 0.25 0.25 0.25 0.2237 0.5162 0 0.2601
10001074 2 4 2 1 3 1 242131 1 0.25 0.25 0.25 0.25 0.5085 0.4915 0 0
10001075 2 1 5 1 5 4 215154 1 0.25 0.25 0.25 0.25 0 0.5832 0 0.4168
10001076 1 2 4 2 4 3 124243 1 0.25 0.25 0.25 0.25 0.184 0.5383 0.2777 0
10001077 4 1 2 2 2 3 412223 1 0.25 0.25 0.25 0.25 0.3381 0.4952 0.1667 0
10001078 3 4 4 1 2 2 344122 1 0.25 0.25 0.25 0.25 0 0.2023 0.631 0.1667
10001079 3 1 2 2 5 3 312253 3 0.25 0.25 0.25 0.25 0 0.4789 0 0.5211
10001080 3 3 1 3 5 4 331354 3 0.25 0.25 0.25 0.25 0 0 0 1
10001081 2 1 3 1 4 4 213144 5 0.25 0.25 0.25 0.25 0 1 0 0
10001082 1 4 2 3 4 3 142343 6 0.25 0.25 0.25 0.25 0 1 0 0
10001083 4 2 2 2 1 1 422211 6 0.25 0.25 0.25 0.25 1 0 0 0
10001084 1 1 2 3 4 3 112343 3 0.25 0.25 0.25 0.25 0 1 0 0
10001085 1 5 4 1 4 4 154144 2 0.25 0.25 0.25 0.25 0 0.3764 0.6236 0
10001086 1 5 3 3 5 4 153354 2 0.25 0.25 0.25 0.25 0 0 0.6325 0.3675
10001087 1 3 3 3 1 3 133313 2 0.25 0.25 0.25 0.25 0 0.4277 0.384 0.1882
10001088 3 2 5 1 5 4 325154 2 0.25 0.25 0.25 0.25 0.3883 0 0 0.6117
10001089 1 4 3 2 4 2 143242 2 0.25 0.25 0.25 0.25 0 0.7536 0.2464 0
10001090 3 3 5 3 5 3 335353 2 0.25 0.25 0.25 0.25 0 0 0 1
10001091 4 1 5 3 3 4 415334 2 0.25 0.25 0.25 0.25 0.4326 0.3396 0 0.2278
10001092 4 3 3 1 3 2 433132 2 0.25 0.25 0.25 0.25 0.3336 0 0.6664 0
10001093 1 3 4 3 3 1 134331 5 0.25 0.25 0.25 0.25 0.2664 0 0.7336 0
10001094 2 2 4 3 2 4 224324 4 0.25 0.25 0.25 0.25 0 0 1 0
10001095 2 2 5 1 1 3 225113 4 0.25 0.25 0.25 0.25 0.5421 0.4579 0 0
10001096 2 4 2 1 1 1 242111 1 0.25 0.25 0.25 0.25 0.3905 0.6095 0 0
10001097 3 2 3 2 3 4 323234 1 0.25 0.25 0.25 0.25 0.4085 0 0 0.5915
10001098 1 4 3 1 4 1 143141 1 0.25 0.25 0.25 0.25 0.2049 0.7951 0 0
10001099 1 1 2 3 5 2 112352 1 0.25 0.25 0.25 0.25 0 0.5208 0.2726 0.2066
10001100 2 4 2 2 3 4 242234 1 0.25 0.25 0.25 0.25 0.3025 0.6975 0 0
10001101 1 3 4 2 1 2 134212 1 0.25 0.25 0.25 0.25 0.0757 0 0.7528 0.1715
10001102 2 3 4 1 1 2 234112 1 0.25 0.25 0.25 0.25 0 0 1 0
10001103 4 1 2 2 5 1 412251 1 0.25 0.25 0.25 0.25 0.564 0.2354 0 0.2005
10001104 1 2 3 1 3 1 123131 1 0.25 0.25 0.25 0.25 0.5098 0 0.4902 0
10001105 2 1 1 1 3 4 211134 1 0.25 0.25 0.25 0.25 0.2189 0.5534 0 0.2277
10001106 1 4 3 1 5 3 143153 2 0.25 0.25 0.25 0.25 0 0.7826 0 0.2174
10001107 2 2 3 1 1 2 223112 2 0.25 0.25 0.25 0.25 0 0 1 0
10001108 3 3 1 2 1 1 331211 2 0.25 0.25 0.25 0.25 0.4085 0 0 0.5915
10001109 1 1 2 3 1 4 112314 2 0.25 0.25 0.25 0.25 0 1 0 0
10001110 1 3 2 1 4 3 132143 2 0.25 0.25 0.25 0.25 0 0.8094 0 0.1906
10001111 4 2 4 2 4 2 424242 2 0.25 0.25 0.25 0.25 0.4354 0.1922 0.3723 0
10001112 4 4 1 1 2 1 441121 2 0.25 0.25 0.25 0.25 0.4196 0.2028 0.211 0.1667
10001113 3 1 2 2 5 3 312253 3 0.25 0.25 0.25 0.25 0 0.4789 0 0.5211
10001114 3 3 1 3 5 4 331354 3 0.25 0.25 0.25 0.25 0 0 0 1
10001115 2 1 3 1 4 4 213144 5 0.25 0.25 0.25 0.25 0 1 0 0
10001116 1 4 2 3 4 3 142343 6 0.25 0.25 0.25 0.25 0 1 0 0
10001117 4 2 2 2 1 1 422211 6 0.25 0.25 0.25 0.25 1 0 0 0
10001118 1 1 2 3 4 3 112343 3 0.25 0.25 0.25 0.25 0 1 0 0
10001119 1 5 4 1 4 4 154144 2 0.25 0.25 0.25 0.25 0 0.3764 0.6236 0
10001120 1 5 3 3 5 4 153354 2 0.25 0.25 0.25 0.25 0 0 0.6325 0.3675
10001121 1 3 3 3 1 3 133313 2 0.25 0.25 0.25 0.25 0 0.4277 0.384 0.1882
10001122 3 2 5 1 5 4 325154 2 0.25 0.25 0.25 0.25 0.3883 0 0 0.6117
10001123 1 4 3 2 4 2 143242 2 0.25 0.25 0.25 0.25 0 0.7536 0.2464 0
10001124 3 3 5 3 5 3 335353 2 0.25 0.25 0.25 0.25 0 0 0 1
10001125 4 1 5 3 3 4 415334 2 0.25 0.25 0.25 0.25 0.4326 0.3396 0 0.2278
10001126 4 3 3 1 3 2 433132 2 0.25 0.25 0.25 0.25 0.3336 0 0.6664 0
10001127 1 3 4 3 3 1 134331 5 0.25 0.25 0.25 0.25 0.2664 0 0.7336 0
10001128 2 2 4 3 2 4 224324 4 0.25 0.25 0.25 0.25 0 0 1 0
10001129 2 2 5 1 1 3 225113 4 0.25 0.25 0.25 0.25 0.5421 0.4579 0 0
10001130 1 4 3 1 5 3 143153 2 0.25 0.25 0.25 0.25 0 0.7826 0 0.2174
10001131 2 2 3 1 1 2 223112 2 0.25 0.25 0.25 0.25 0 0 1 0
10001132 3 3 1 2 1 1 331211 2 0.25 0.25 0.25 0.25 0.4085 0 0 0.5915
10001133 1 1 2 3 1 4 112314 2 0.25 0.25 0.25 0.25 0 1 0 0
10001134 1 3 2 1 4 3 132143 2 0.25 0.25 0.25 0.25 0 0.8094 0 0.1906
10001135 4 2 4 2 4 2 424242 2 0.25 0.25 0.25 0.25 0.4354 0.1922 0.3723 0
10001136 4 4 1 1 2 1 441121 2 0.25 0.25 0.25 0.25 0.4196 0.2028 0.211 0.1667
10001137 3 1 2 2 5 3 312253 3 0.25 0.25 0.25 0.25 0 0.4789 0 0.5211
10001138 3 3 1 3 5 4 331354 3 0.25 0.25 0.25 0.25 0 0 0 1
10001139 2 1 3 1 4 4 213144 5 0.25 0.25 0.25 0.25 0 1 0 0
10001140 1 4 2 3 4 3 142343 6 0.25 0.25 0.25 0.25 0 1 0 0
10001141 4 2 2 2 1 1 422211 6 0.25 0.25 0.25 0.25 1 0 0 0
10001142 1 3 4 3 3 1 134331 5 0.25 0.25 0.25 0.25 0.2664 0 0.7336 0
10001143 2 2 4 3 2 4 224324 4 0.25 0.25 0.25 0.25 0 0 1 0
10001144 2 2 5 1 1 3 225113 4 0.25 0.25 0.25 0.25 0.5421 0.4579 0 0
10001145 2 1 3 1 4 4 213144 5 0.25 0.25 0.25 0.25 0 1 0 0
10001146 1 4 2 3 4 3 142343 6 0.25 0.25 0.25 0.25 0 1 0 0
10001147 4 2 2 2 1 1 422211 6 0.25 0.25 0.25 0.25 1 0 0 0
10001148 1 3 4 3 3 1 134331 5 0.25 0.25 0.25 0.25 0.2664 0 0.7336 0
10001149 2 4 1 2 3 3 241233 1 0.25 0.25 0.25 0.25 0.2232 0.5069 0 0.2699
10001150 3 3 3 2 3 3 333233 1 0.25 0.25 0.25 0.25 0.206 0 0 0.794
10001151 1 1 1 1 1 1 111111 1 0.25 0.25 0.25 0.25 0.3258 0.5075 0 0.1667
10001152 1 4 2 3 4 3 142343 6 0.25 0.25 0.25 0.25 0 1 0 0
10001153 4 2 2 2 1 1 422211 6 0.25 0.25 0.25 0.25 1 0 0 0
10001154 1 1 2 3 4 3 112343 3 0.25 0.25 0.25 0.25 0 1 0 0
10001155 1 3 4 3 3 1 134331 5 0.25 0.25 0.25 0.25 0.2664 0 0.7336 0
10001156 2 2 4 3 2 4 224324 4 0.25 0.25 0.25 0.25 0 0 1 0
10001157 2 2 5 1 1 3 225113 4 0.25 0.25 0.25 0.25 0.5421 0.4579 0 0
10001158 2 1 3 1 4 4 213144 5 0.25 0.25 0.25 0.25 0 1 0 0
10001159 1 4 2 3 4 3 142343 6 0.25 0.25 0.25 0.25 0 1 0 0
10001160 4 2 2 2 1 1 422211 6 0.25 0.25 0.25 0.25 1 0 0 0
10001161 3 2 4 1 1 2 324112 2 0.25 0.25 0.25 0.25 0.0006 0 0.8328 0.1667
10001162 1 1 2 2 1 4 112214 2 0.25 0.25 0.25 0.25 0 1 0 0
10001163 4 2 4 3 4 4 424344 2 0.25 0.25 0.25 0.25 0.2773 0.3298 0.3929 0
