SubjID  , etnia, regiao, idade, genero, filhos, animais
10001128,     2,      2,     4,      3,      2,       4
10001129,     2,      2,     5,      1,      1,       3
10001130,     1,      4,     3,      1,      5,       3
10001131,     2,      2,     3,      1,      1,       2
10001132,     3,      3,     1,      2,      1,       1
10001133,     1,      1,     2,      3,      1,       4
10001134,     1,      3,     2,      1,      4,       3
10001135,     4,      2,     4,      2,      4,       2
10001136,     4,      4,     1,      1,      2,       1
10001137,     3,      1,     2,      2,      5,       3
10001138,     3,      3,     1,      3,      5,       4
10001139,     2,      1,     3,      1,      4,       4
10001140,     1,      4,     2,      3,      4,       3
10001141,     4,      2,     2,      2,      1,       1
10001142,     1,      3,     4,      3,      3,       1
10001143,     2,      2,     4,      3,      2,       4
10001144,     2,      2,     5,      1,      1,       3
10001145,     2,      1,     3,      1,      4,       4
10001146,     1,      4,     2,      3,      4,       3
10001147,     4,      2,     2,      2,      1,       1
10001148,     1,      3,     4,      3,      3,       1
10001149,     2,      4,     1,      2,      3,       3
10001150,     3,      3,     3,      2,      3,       3
10001151,     1,      1,     1,      1,      1,       1
10001152,     1,      4,     2,      3,      4,       3
10001153,     4,      2,     2,      2,      1,       1
10001154,     1,      1,     2,      3,      4,       3
10001155,     1,      3,     4,      3,      3,       1
10001156,     2,      2,     4,      3,      2,       4
10001157,     2,      2,     5,      1,      1,       3
10001158,     2,      1,     3,      1,      4,       4
10001159,     1,      4,     2,      3,      4,       3
10001160,     4,      2,     2,      2,      1,       1
10001161,     3,      2,     4,      1,      1,       2
10001162,     1,      1,     2,      2,      1,       4
10001163,     4,      2,     4,      3,      4,       4
